,Short-read Assembly,Long-read Scaffolding and Gap Filling,Length Filtering (≤500bp),Short-read Gap Filling and Polishing
Contigs (n),3860052,3662748,436743,407409
Scaffolds (n),3860072,3458610,232605,232605
Ungapped Size (Gbp),1.9,2.2,1.6,1.6
Gapped Size (Gbp),1.9,2.7,2.1,2.1
Ambiguous Bases (%),-,19.2,24.6,24.4
Contig N50 (kbp),1.89,5.42,11.29,13.11
Scaffold N50 (kbp),1.89,103.51,164.61,164.1
Largest Contig (kbp),53.6,232,232,235
Largest Scaffold (kbp),53.6,1489,1489,1484
BUSCO Complete Genes (%), 67.7,100,100,100
