[]
lordec-build-SR-graph: invalid option -- 't'
DEBUG printing
-2
/rhome/arajewski/bigdata/Datura/1_hercules/DstrTrim_1P_subsample.fq,/rhome/arajewski/bigdata/Datura/1_hercules/DstrTrim_2P_subsample.fq
-k
19
-s
3
-t
-g
DstrTrim
24
illumina: /rhome/arajewski/bigdata/Datura/1_hercules/DstrTrim_1P_subsample.fq,/rhome/arajewski/bigdata/Datura/1_hercules/DstrTrim_2P_subsample.fq
kmer_len: 19 solid_kmer_thr: 3
abundance_max: 2147483647

[DSK: counting kmers                     ]  0    %   elapsed:   0 min 0  sec   remaining:   0 min 0  sec   cpu:  -1.0 %   mem: [  22,   22,  128] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  0    %   elapsed:   0 min 0  sec   remaining:   0 min 0  sec   cpu:  -1.0 %   mem: [  86,   86,  128] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  1    %   elapsed:   0 min 18 sec   remaining:  30 min 20 sec   cpu: 639.6 %   mem: [2929, 2929, 2929] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  2    %   elapsed:   1 min 34 sec   remaining:  76 min 37 sec   cpu: 262.7 %   mem: [2958, 2958, 2958] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  3    %   elapsed:   2 min 28 sec   remaining:  79 min 53 sec   cpu: 242.9 %   mem: [2963, 2963, 2963] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  4    %   elapsed:   3 min 13 sec   remaining:  77 min 11 sec   cpu: 243.0 %   mem: [2966, 2966, 2966] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  5    %   elapsed:   3 min 52 sec   remaining:  73 min 19 sec   cpu: 247.6 %   mem: [2969, 2969, 2969] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  6    %   elapsed:   4 min 34 sec   remaining:  71 min 37 sec   cpu: 248.2 %   mem: [2970, 2970, 2970] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  7    %   elapsed:   5 min 25 sec   remaining:  72 min 0  sec   cpu: 243.1 %   mem: [2972, 2972, 2972] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  8    %   elapsed:   6 min 13 sec   remaining:  71 min 29 sec   cpu: 241.6 %   mem: [2973, 2973, 2973] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  9    %   elapsed:   7 min 4  sec   remaining:  71 min 31 sec   cpu: 240.0 %   mem: [2974, 2974, 2974] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  10   %   elapsed:   7 min 55 sec   remaining:  71 min 17 sec   cpu: 238.0 %   mem: [2974, 2974, 2974] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  11   %   elapsed:   8 min 37 sec   remaining:  69 min 45 sec   cpu: 240.8 %   mem: [2975, 2975, 2975] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  12   %   elapsed:   9 min 19 sec   remaining:  68 min 17 sec   cpu: 243.4 %   mem: [2976, 2976, 2976] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  13   %   elapsed:  10 min 6  sec   remaining:  67 min 34 sec   cpu: 243.5 %   mem: [2976, 2976, 2976] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  14   %   elapsed:  10 min 51 sec   remaining:  66 min 40 sec   cpu: 243.7 %   mem: [2976, 2976, 2976] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  15   %   elapsed:  11 min 34 sec   remaining:  65 min 30 sec   cpu: 245.7 %   mem: [2977, 2977, 2977] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  16   %   elapsed:  12 min 24 sec   remaining:  65 min 6  sec   cpu: 245.1 %   mem: [2977, 2977, 2977] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  17   %   elapsed:  13 min 5  sec   remaining:  63 min 54 sec   cpu: 246.9 %   mem: [2977, 2977, 2977] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  18   %   elapsed:  13 min 48 sec   remaining:  62 min 54 sec   cpu: 247.9 %   mem: [2978, 2978, 2978] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  19   %   elapsed:  14 min 35 sec   remaining:  62 min 11 sec   cpu: 248.1 %   mem: [2978, 2978, 2978] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  20   %   elapsed:  15 min 22 sec   remaining:  61 min 26 sec   cpu: 248.2 %   mem: [2978, 2978, 2978] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  21   %   elapsed:  16 min 16 sec   remaining:  61 min 13 sec   cpu: 246.5 %   mem: [2978, 2978, 2978] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  22   %   elapsed:  17 min 5  sec   remaining:  60 min 34 sec   cpu: 246.4 %   mem: [2978, 2978, 2978] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  23   %   elapsed:  17 min 54 sec   remaining:  59 min 54 sec   cpu: 246.2 %   mem: [2978, 2978, 2978] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  24   %   elapsed:  18 min 43 sec   remaining:  59 min 15 sec   cpu: 245.7 %   mem: [2979, 2979, 2979] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  25   %   elapsed:  19 min 26 sec   remaining:  58 min 18 sec   cpu: 246.6 %   mem: [2979, 2979, 2979] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  26   %   elapsed:  20 min 12 sec   remaining:  57 min 30 sec   cpu: 246.7 %   mem: [2979, 2979, 2979] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  27   %   elapsed:  20 min 51 sec   remaining:  56 min 23 sec   cpu: 248.1 %   mem: [2979, 2979, 2979] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  28   %   elapsed:  21 min 38 sec   remaining:  55 min 38 sec   cpu: 248.5 %   mem: [2979, 2979, 2979] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  29   %   elapsed:  22 min 26 sec   remaining:  54 min 56 sec   cpu: 249.0 %   mem: [2979, 2979, 2979] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  30   %   elapsed:  23 min 4  sec   remaining:  53 min 50 sec   cpu: 250.5 %   mem: [2979, 2979, 2979] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  31   %   elapsed:  23 min 47 sec   remaining:  52 min 56 sec   cpu: 251.2 %   mem: [2979, 2979, 2979] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  32   %   elapsed:  24 min 34 sec   remaining:  52 min 12 sec   cpu: 251.6 %   mem: [2979, 2979, 2979] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  33   %   elapsed:  25 min 27 sec   remaining:  51 min 39 sec   cpu: 250.7 %   mem: [2979, 2979, 2979] MB 
[DSK: Pass 1/1, Step 1: partitioning     ]  34   %   elapsed:  26 min 7  sec   remaining:  50 min 41 sec   cpu: 251.9 %   mem: [2979, 2979, 2979] MB 
