# BUSCO version is: 3.0.2 
# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)
# To reproduce this run: python /opt/linux/centos/7.x/x86_64/pkgs/busco/3.0.2/scripts/run_BUSCO.py -i /rhome/arajewski/bigdata/Datura/3_Flye/assembly.fasta -o Dstr_v1.0 -l /srv/projects/db/BUSCO/v9/embryophyta_odb9/ -m genome -c 16 -sp arabidopsis
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG09360002	Complete	contig_2414	153235	167806	4965.7	2504
EOG0936000A	Complete	contig_1325	42	71394	5240.6	3705
EOG0936001N	Complete	contig_6987	2538	17611	2984.2	1923
EOG0936001W	Complete	contig_6416	51079	75255	2341.9	1618
EOG09360025	Complete	contig_13235	56573	72714	2335.0	1213
EOG0936003Z	Complete	contig_3993	122341	140648	2079.1	1542
EOG0936004R	Complete	contig_12264	292791	301461	1303.3	814
EOG0936004W	Complete	contig_14287	304601	318886	1926.2	1169
EOG0936008E	Complete	contig_547	200674	215839	897.3	590
EOG0936008K	Complete	contig_2377	185255	191033	2453.5	1149
EOG09360091	Complete	contig_1811	448210	457542	2243.3	1230
EOG0936009W	Complete	contig_5823	68640	73246	1015.9	688
EOG093600CA	Complete	contig_374	8296	14871	2365.6	1144
EOG093600CH	Complete	contig_1073	195219	228509	1981.2	1123
EOG093600CL	Complete	contig_2372	93314	106015	953.1	580
EOG093600DF	Complete	contig_542	302738	316012	1503.2	1239
EOG093600DJ	Complete	contig_7386	242315	271535	2169.9	1260
EOG093600DL	Complete	contig_7944	93166	99546	1884.1	1120
EOG093600EH	Complete	contig_11886	31155	40210	1995.0	1087
EOG093600FR	Complete	contig_5254	100366	127251	1534.2	1045
EOG093600G6	Complete	contig_11593	70726	85230	2170.1	1554
EOG093600GM	Complete	contig_5221	39633	44108	2113.3	1193
EOG093600H1	Complete	contig_14525	188923	207900	1173.9	853
EOG093600IQ	Complete	contig_3897	66126	75972	2092.0	1161
EOG093600K5	Complete	contig_10092	64081	77680	1767.4	1005
EOG093600LV	Missing
EOG093600N9	Complete	contig_1229	4887	17911	1449.5	1014
EOG093600NS	Complete	contig_4317	41321	60798	1365.0	863
EOG093600O6	Complete	contig_3508	101666	107825	1429.1	1018
EOG093600OF	Complete	contig_60	127758	144552	1443.6	884
EOG093600ON	Complete	contig_4391	297008	310556	1685.0	960
EOG093600OU	Fragmented	contig_594	90016	98765	804.4	447
EOG093600P5	Complete	contig_957	70439	76554	987.3	757
EOG093600PE	Complete	contig_287	296120	304094	2286.0	1131
EOG093600QB	Complete	contig_4999	80043	88323	1032.6	731
EOG093600R5	Fragmented	contig_15085	18794	23426	686.7	368
EOG093600SL	Complete	contig_7777	139617	146410	1407.1	810
EOG093600SS	Missing
EOG093600SY	Complete	contig_7317	13596	21870	1676.5	973
EOG093600T6	Complete	contig_13470	50596	65860	1182.3	847
EOG093600T8	Complete	contig_16642	58834	68260	1169.0	900
EOG093600TY	Complete	contig_12808	8186	16918	1684.0	1639
EOG093600TZ	Complete	contig_4145	138405	183715	1511.6	867
EOG093600U4	Complete	contig_4663	567914	586963	1242.0	717
EOG093600U9	Complete	contig_11711	204097	226849	1725.8	1069
EOG093600UX	Missing
EOG093600W2	Complete	contig_1887	186855	208608	829.8	569
EOG093600WS	Complete	contig_6889	474246	477963	1360.3	877
EOG093600X9	Complete	contig_10326	19228	25899	1275.4	894
EOG093600XL	Complete	contig_13877	109874	115095	1718.7	974
EOG093600YH	Missing
EOG093600ZL	Missing
EOG0936011P	Complete	contig_7403	23192	32244	567.9	680
