#seq_name	length	cov.	circ.	repeat	mult.	graph_path
contig_1	75398	6	-	-	1	6688,12802,-10601,-11487,-12918,5083,1,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136,6136
contig_2	283490	4	-	-	1	2,*
contig_3	227365	5	-	-	1	*,3,14636
contig_4	241658	3	-	-	1	*,4,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049,10049
contig_5	90473	3	-	-	1	-13087,12516,5,*
contig_6	115736	4	-	-	1	*,6,*
contig_8	197144	4	-	-	1	*,8,*
contig_9	95640	4	-	-	1	*,9
contig_10	290810	5	-	-	1	10,11742,*
contig_11	185616	5	-	-	1	9374,7692,4722,11,2032
contig_12	3213	7	-	-	1	*,12,*
contig_13	132156	3	-	-	1	*,13,*
scaffold_14	254835	6	-	-	1	*,14,13270,-4632,??,3479,6694,*
contig_15	59795	4	-	-	1	15,10422
contig_16	106780	4	-	-	1	*,16,*
contig_17	40453	4	-	-	1	*,17,*
contig_18	1013	16	-	+	3	18
contig_19	177013	4	-	-	1	*,19,*
contig_20	120148	4	-	-	1	*,20
contig_21	40300	3	-	-	1	21,12936,-13487,12936
contig_22	7123	5	-	-	1	*,22,*
contig_23	176028	4	-	-	1	*,23,*
contig_24	92540	4	-	-	1	-13706,24,-6132,*
contig_25	96094	4	-	-	1	25
contig_26	148311	4	-	-	1	*,26,*
contig_28	177515	4	-	-	1	*,28,*
contig_29	119332	4	-	-	1	*,29,*
contig_30	77031	5	-	-	1	*,30,10049,10049,10049,10049,10049,10049,10049,10049,10049
contig_31	103231	5	-	-	1	-11578,-6139,5719,12766,331,-9316,11336,4586,-10375,11336,7977,31
contig_32	205505	4	-	-	1	*,32,*
contig_33	42692	5	-	-	1	8026,33,4310,4216
contig_34	83804	3	-	-	1	*,34,9329
contig_35	36397	3	-	-	1	2366,35,*
contig_36	19256	3	-	-	1	5150,36,6717
contig_37	88696	4	-	-	1	37
contig_38	68374	4	-	-	1	*,38,*
contig_39	199590	5	-	-	1	9854,-6869,-11343,-11343,11566,11566,-6495,-11343,-11343,-11343,964,8427,-11086,-6577,39,*
contig_40	97475	3	-	-	1	*,40,*
contig_41	144844	5	-	-	1	41,*
contig_42	230257	5	-	-	1	12355,6245,12105,13527,-6224,6617,-5881,42,*
contig_43	9637	4	-	-	1	-12792,43,13181
contig_44	70068	4	-	-	1	*,44,*
contig_45	71707	3	-	-	1	-9385,-13655,45,10049,10049,10049,10049,10049,10049,10049,10049,10049
contig_46	186823	4	-	-	1	*,46
contig_47	86505	3	-	-	1	-7418,14685,-7418,-6459,47,-6656
contig_48	311279	4	-	-	1	-12915,48,599
contig_49	186241	5	-	-	1	49,4403,-4076,4813,-6765,10230,5769,8876
contig_50	72846	5	-	-	1	*,50
contig_51	163241	3	-	-	1	*,51,*
contig_52	101063	5	-	-	1	-4854,-10270,52,*
contig_53	225267	3	-	-	1	11021,53,*
contig_54	35008	3	-	-	1	54,13661
contig_55	34703	6	-	-	1	-13792,12151,55,-5603
contig_56	122732	4	-	-	1	13928,56,*
contig_57	101058	3	-	-	1	*,57
contig_58	245119	3	-	-	1	11012,14522,58,-6940,6416,7786,6224,-13527,-12105,-6245
contig_59	39668	3	-	-	1	*,59
contig_60	213252	4	-	-	1	*,60,*
contig_61	32511	5	-	-	1	*,61,13177
contig_62	198842	4	-	-	1	5655,5655,-6686,62,*
contig_63	42208	3	-	-	1	63,*
contig_64	181415	4	-	-	1	*,64,-4194,-2727
contig_65	156107	3	-	-	1	65,958
contig_66	78835	3	-	-	1	7654,-8882,10763,66,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540,5728,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540
contig_67	66041	5	-	-	1	*,67,*
contig_68	51417	4	-	-	1	*,68
contig_69	90606	3	-	-	1	*,69,8898
contig_70	17628	6	-	-	1	70
contig_71	86105	3	-	-	1	3283,71,*
contig_73	76958	3	-	-	1	-11667,73,-5150
contig_74	2811	4	-	+	1	74
contig_75	4029	5	-	-	1	*,75,*
contig_76	94172	5	-	-	1	*,76
contig_77	93681	6	-	-	1	*,77,*
contig_78	160680	6	-	-	1	*,78,*
contig_79	49326	5	-	-	1	*,79,*
contig_80	149368	4	-	-	1	*,80,*
contig_81	64451	4	-	-	1	81
contig_82	148388	5	-	-	1	*,82
contig_83	54927	6	-	-	1	*,83,-4450,-12192
contig_85	215257	4	-	-	1	-14050,85,14084
contig_86	71068	5	-	-	1	6656,6656,6656,6656,6861,6656,6656,6656,6656,6656,11420,-1663,-7234,-7234,-7234,13653,13653,13653,13653,-14776,-6350,-6350,-13849,-604,6641,-13091,11511,-13101,86,-14661
contig_87	177716	6	-	-	1	-9385,-13655,87
contig_88	197516	4	-	-	1	*,88,-11911,-11911,14563,-10524,-6570
contig_89	140729	4	-	-	1	89,-14063,6448,11537,14953
contig_90	162861	4	-	-	1	-8042,8193,4634,6245,12105,13527,90,*
contig_91	385662	5	-	-	1	*,91,*
contig_92	124775	4	-	-	1	11434,-10120,14428,9888,11434,-10120,14428,-10120,14428,9888,11434,-10120,14428,92,*
contig_93	83118	4	-	-	1	*,93
contig_94	119830	4	-	-	1	*,94,*
contig_95	126784	3	-	-	1	*,95,*
contig_96	149913	4	-	-	1	*,96,9846,14307,-8839,-2802
contig_97	162217	4	-	-	1	-13144,97,7244
contig_98	147134	4	-	-	1	*,98,6559,-9331
contig_99	133092	4	-	-	1	14515,99,11630,11010
contig_100	102235	4	-	-	1	100,7418,7418,11667
contig_101	84015	4	-	-	1	*,101
contig_102	20464	4	-	-	1	-7843,102,-6848,4656,-3698,-10363
contig_103	118554	4	-	-	1	2973,14685,-7418,13809,103,7430
contig_104	128300	4	-	-	1	-13674,-6466,9064,11452,-9998,-6466,-6466,104,10584,-6484,2628
contig_105	98014	7	-	+	1	*,105
contig_106	152437	4	-	-	1	*,106,-11368,410
contig_107	168201	5	-	-	1	2064,107,4166
contig_108	63724	3	-	-	1	*,108,-5619
contig_109	98900	3	-	-	1	*,109
contig_110	243821	5	-	-	1	*,110,*
contig_111	76252	3	-	-	1	111,*
contig_112	26407	4	-	-	1	9499,12816,8526,112,-14144
contig_113	56573	5	-	-	1	113,*
contig_114	1051	14	-	+	2	114
contig_115	29318	5	-	+	1	115
contig_116	91740	5	-	-	1	-15080,116,*
contig_117	3217	10	-	+	2	117
contig_118	158911	4	-	-	1	*,118,*
contig_119	195533	4	-	-	1	119,7240
contig_120	84018	5	-	-	1	*,120,*
contig_121	59102	3	-	-	1	*,121,-13812,-10302,3027
contig_122	32384	4	-	-	1	122
contig_123	185472	5	-	-	1	123,*
contig_124	192984	6	-	-	1	*,124
contig_125	56269	3	-	-	1	125,*
contig_126	114634	4	-	-	1	*,126,*
contig_127	79965	4	-	-	1	-8822,2802,8839,6821,10190,127
contig_128	158693	4	-	-	1	-13992,128,*
contig_129	3425	73	-	+	12	129
contig_130	180670	4	-	-	1	130,11152
contig_131	224612	4	-	-	1	*,131
contig_132	215724	5	-	-	1	-3860,132,*
contig_133	85219	4	-	-	1	5918,133,*
contig_134	63920	3	-	-	1	*,134,12822,12822,12822,12822,12822,12822
contig_135	215312	4	-	-	1	*,135,3926
contig_136	66026	4	-	-	1	9802,136
contig_137	233499	5	-	-	1	*,137,14930,14930,14930,14930,14930,14930
contig_138	129431	4	-	-	1	6656,6656,6656,6656,6656,6656,6656,138,12926,12918
contig_139	30166	4	-	+	1	139
contig_140	102165	4	-	-	1	*,140,*
contig_141	68651	4	-	-	1	*,141,12918,11487
contig_142	74605	5	-	-	1	142,-5836
contig_143	227065	3	-	-	1	*,-3657,143,*
