HAX54_000001-T1	IPR018545
HAX54_000002-T1	IPR001005
HAX54_000002-T1	IPR017930
HAX54_000003-T1	IPR006873
HAX54_000004-T1	IPR002182
HAX54_000004-T1	IPR041118
HAX54_000005-T1	IPR002213
HAX54_000009-T1	IPR001806
HAX54_000010-T1	IPR022087
HAX54_000013-T1	IPR006977
HAX54_000014-T1	IPR006702
HAX54_000015-T1	IPR000408
HAX54_000016-T1	IPR004159
HAX54_000017-T1	IPR001932
HAX54_000018-T1	IPR002100
HAX54_000021-T1	IPR002487
HAX54_000022-T1	IPR004648
HAX54_000022-T1	IPR004813
HAX54_000023-T1	IPR004813
HAX54_000025-T1	IPR011598
HAX54_000028-T1	IPR000270
HAX54_000028-T1	IPR033389
HAX54_000029-T1	IPR001272
HAX54_000030-T1	IPR001844
HAX54_000030-T1	IPR002423
HAX54_000031-T1	IPR000089
HAX54_000031-T1	IPR017453
HAX54_000031-T1	IPR033753
HAX54_000032-T1	IPR000905
HAX54_000032-T1	IPR017861
HAX54_000033-T1	IPR002885
HAX54_000033-T1	IPR033443
HAX54_000034-T1	IPR013791
HAX54_000034-T1	IPR016443
HAX54_000034-T1	IPR023797
HAX54_000035-T1	IPR013989
HAX54_000036-T1	IPR007577
HAX54_000036-T1	IPR007652
HAX54_000037-T1	IPR001245
HAX54_000037-T1	IPR001611
HAX54_000037-T1	IPR013210
HAX54_000038-T1	IPR001245
HAX54_000038-T1	IPR001611
HAX54_000047-T1	IPR000719
HAX54_000048-T1	IPR002885
HAX54_000048-T1	IPR032867
HAX54_000049-T1	IPR000719
HAX54_000049-T1	IPR001245
HAX54_000050-T1	IPR000719
HAX54_000050-T1	IPR000961
HAX54_000050-T1	IPR017892
HAX54_000051-T1	IPR006936
HAX54_000052-T1	IPR001841
HAX54_000052-T1	IPR015063
HAX54_000053-T1	IPR001841
HAX54_000053-T1	IPR002110
HAX54_000053-T1	IPR020683
HAX54_000054-T1	IPR006044
HAX54_000054-T1	IPR006045
HAX54_000055-T1	IPR006044
HAX54_000055-T1	IPR006045
HAX54_000056-T1	IPR006044
HAX54_000056-T1	IPR006045
HAX54_000057-T1	IPR008480
HAX54_000058-T1	IPR000719
HAX54_000058-T1	IPR001611
HAX54_000060-T1	IPR001236
HAX54_000060-T1	IPR022383
HAX54_000061-T1	IPR001005
HAX54_000061-T1	IPR017930
HAX54_000062-T1	IPR001544
HAX54_000063-T1	IPR001000
HAX54_000063-T1	IPR003305
HAX54_000064-T1	IPR040464
HAX54_000064-T1	IPR041429
HAX54_000066-T1	IPR013057
HAX54_000067-T1	IPR000217
HAX54_000067-T1	IPR002452
HAX54_000067-T1	IPR003008
HAX54_000067-T1	IPR018316
HAX54_000068-T1	IPR003480
HAX54_000071-T1	IPR003953
HAX54_000071-T1	IPR005288
HAX54_000071-T1	IPR015939
HAX54_000075-T1	IPR000704
HAX54_000076-T1	IPR001611
HAX54_000077-T1	IPR001901
HAX54_000078-T1	IPR001128
HAX54_000078-T1	IPR002401
HAX54_000079-T1	IPR001128
HAX54_000080-T1	IPR002182
HAX54_000084-T1	IPR012336
HAX54_000084-T1	IPR033468
HAX54_000087-T1	IPR005123
HAX54_000087-T1	IPR026992
HAX54_000090-T1	IPR025322
HAX54_000093-T1	IPR001005
HAX54_000093-T1	IPR017877
HAX54_000093-T1	IPR017930
HAX54_000094-T1	IPR003399
HAX54_000100-T1	IPR001005
HAX54_000100-T1	IPR017930
HAX54_000101-T1	IPR006671
HAX54_000103-T1	IPR000484
HAX54_000105-T1	IPR016706
HAX54_000106-T1	IPR001171
HAX54_000107-T1	IPR003613
HAX54_000110-T1	IPR000504
HAX54_000110-T1	IPR002075
HAX54_000110-T1	IPR018222
HAX54_000111-T1	IPR022666
HAX54_000112-T1	IPR000210
HAX54_000112-T1	IPR002110
HAX54_000112-T1	IPR020683
HAX54_000112-T1	IPR024228
HAX54_000113-T1	IPR000270
HAX54_000114-T1	IPR004158
HAX54_000115-T1	IPR026243
HAX54_000116-T1	IPR024324
HAX54_000116-T1	IPR032682
HAX54_000118-T1	IPR006476
HAX54_000119-T1	IPR001789
HAX54_000120-T1	IPR001789
HAX54_000126-T1	IPR025846
HAX54_000126-T1	IPR026057
HAX54_000135-T1	IPR009769
HAX54_000136-T1	IPR000719
HAX54_000138-T1	IPR003657
HAX54_000139-T1	IPR025422
HAX54_000142-T1	IPR000719
HAX54_000142-T1	IPR025322
HAX54_000144-T1	IPR001810
HAX54_000146-T1	IPR001471
HAX54_000151-T1	IPR001471
HAX54_000153-T1	IPR002109
HAX54_000153-T1	IPR011899
HAX54_000153-T1	IPR014025
HAX54_000155-T1	IPR001611
HAX54_000155-T1	IPR032171
HAX54_000156-T1	IPR005540
HAX54_000156-T1	IPR005541
HAX54_000158-T1	IPR001128
HAX54_000158-T1	IPR002401
HAX54_000159-T1	IPR001128
HAX54_000159-T1	IPR002401
