HAX54_000001-T1	PF09405
HAX54_000002-T1	PF00249
HAX54_000003-T1	PF04788
HAX54_000004-T1	PF00931
HAX54_000004-T1	PF18052
HAX54_000005-T1	PF00201
HAX54_000009-T1	PF00071
HAX54_000010-T1	PF12315
HAX54_000013-T1	PF04893
HAX54_000014-T1	PF04535
HAX54_000015-T1	PF00415
HAX54_000015-T1	PF13540
HAX54_000016-T1	PF03141
HAX54_000017-T1	PF00481
HAX54_000018-T1	PF00319
HAX54_000020-T1	PF01486
HAX54_000021-T1	PF03169
HAX54_000022-T1	PF03169
HAX54_000024-T1	PF00010
HAX54_000027-T1	PF02309
HAX54_000028-T1	PF01293
HAX54_000029-T1	PF00118
HAX54_000030-T1	PF01597
HAX54_000031-T1	PF00814
HAX54_000032-T1	PF01535
HAX54_000032-T1	PF13041
HAX54_000032-T1	PF13812
HAX54_000032-T1	PF17177
HAX54_000033-T1	PF01137
HAX54_000033-T1	PF05189
HAX54_000034-T1	PF10539
HAX54_000035-T1	PF04488
HAX54_000035-T1	PF04572
HAX54_000036-T1	PF00069
HAX54_000036-T1	PF00560
HAX54_000036-T1	PF08263
HAX54_000036-T1	PF13855
HAX54_000037-T1	PF07714
HAX54_000037-T1	PF13855
HAX54_000040-T1	PF11976
HAX54_000047-T1	PF00069
HAX54_000048-T1	PF01535
HAX54_000048-T1	PF13041
HAX54_000048-T1	PF14432
HAX54_000049-T1	PF07714
HAX54_000050-T1	PF00069
HAX54_000050-T1	PF00433
HAX54_000051-T1	PF04852
HAX54_000052-T1	PF08969
HAX54_000052-T1	PF13920
HAX54_000053-T1	PF00023
HAX54_000053-T1	PF13920
HAX54_000054-T1	PF00190
HAX54_000055-T1	PF00190
HAX54_000056-T1	PF00190
HAX54_000057-T1	PF00190
HAX54_000058-T1	PF05553
HAX54_000059-T1	PF00069
HAX54_000060-T1	PF14381
HAX54_000062-T1	PF00056
HAX54_000062-T1	PF02866
HAX54_000063-T1	PF00249
HAX54_000064-T1	PF01063
HAX54_000066-T1	PF00331
HAX54_000066-T1	PF02018
HAX54_000067-T1	PF05770
HAX54_000067-T1	PF17927
HAX54_000069-T1	PF01490
HAX54_000070-T1	PF00091
HAX54_000070-T1	PF03953
HAX54_000071-T1	PF02458
HAX54_000073-T1	PF00890
HAX54_000073-T1	PF02910
HAX54_000077-T1	PF01214
HAX54_000078-T1	PF01214
HAX54_000079-T1	PF00560
HAX54_000079-T1	PF13855
HAX54_000081-T1	PF00931
HAX54_000083-T1	PF00067
HAX54_000085-T1	PF00931
HAX54_000088-T1	PF17171
HAX54_000088-T1	PF17172
HAX54_000092-T1	PF03171
HAX54_000092-T1	PF14226
HAX54_000094-T1	PF14009
HAX54_000095-T1	PF01190
HAX54_000097-T1	PF02470
HAX54_000102-T1	PF00249
HAX54_000103-T1	PF00134
HAX54_000108-T1	PF00420
HAX54_000109-T1	PF00238
HAX54_000112-T1	PF13869
HAX54_000114-T1	PF01222
HAX54_000115-T1	PF04564
HAX54_000119-T1	PF00076
HAX54_000119-T1	PF02136
HAX54_000120-T1	PF00181
HAX54_000121-T1	PF00651
HAX54_000121-T1	PF11900
HAX54_000121-T1	PF12796
HAX54_000122-T1	PF00564
HAX54_000124-T1	PF03140
HAX54_000126-T1	PF12717
HAX54_000126-T1	PF12922
HAX54_000128-T1	PF01053
HAX54_000129-T1	PF01053
HAX54_000130-T1	PF09713
HAX54_000142-T1	PF13839
HAX54_000142-T1	PF14416
HAX54_000150-T1	PF07059
HAX54_000153-T1	PF00069
HAX54_000154-T1	PF03106
HAX54_000155-T1	PF14144
HAX54_000157-T1	PF14709
HAX54_000158-T1	PF00069
HAX54_000158-T1	PF14009
HAX54_000160-T1	PF00646
HAX54_000162-T1	PF00847
HAX54_000169-T1	PF00847
HAX54_000172-T1	PF00462
HAX54_000174-T1	PF13516
HAX54_000174-T1	PF16095
HAX54_000175-T1	PF03790
HAX54_000175-T1	PF03791
HAX54_000177-T1	PF00067
HAX54_000178-T1	PF00067
HAX54_000179-T1	PF00067
HAX54_000180-T1	PF00067
HAX54_000181-T1	PF00248
HAX54_000182-T1	PF00248
HAX54_000183-T1	PF12643
HAX54_000185-T1	PF02536
HAX54_000186-T1	PF00071
HAX54_000187-T1	PF03188
HAX54_000187-T1	PF04526
HAX54_000188-T1	PF01131
HAX54_000188-T1	PF01751
HAX54_000190-T1	PF00931
HAX54_000190-T1	PF18052
HAX54_000191-T1	PF00010
HAX54_000192-T1	PF00225
HAX54_000193-T1	PF16845
HAX54_000194-T1	PF00515
HAX54_000194-T1	PF13181
HAX54_000194-T1	PF13432
HAX54_000194-T1	PF13844
HAX54_000195-T1	PF00515
HAX54_000195-T1	PF13181
HAX54_000195-T1	PF13414
HAX54_000195-T1	PF13844
HAX54_000199-T1	PF01535
HAX54_000199-T1	PF05910
HAX54_000199-T1	PF13041
HAX54_000200-T1	PF00271
HAX54_000200-T1	PF04408
HAX54_000200-T1	PF07717
HAX54_000202-T1	PF07172
HAX54_000205-T1	PF07172
HAX54_000206-T1	PF07172
HAX54_000207-T1	PF00254
HAX54_000207-T1	PF14559
HAX54_000208-T1	PF00626
HAX54_000208-T1	PF04810
HAX54_000208-T1	PF04811
HAX54_000208-T1	PF04815
HAX54_000208-T1	PF08033
HAX54_000209-T1	PF00067
HAX54_000210-T1	PF00067
HAX54_000210-T1	PF10932
HAX54_000213-T1	PF00225
HAX54_000213-T1	PF11995
HAX54_000220-T1	PF16114
HAX54_000228-T1	PF00249
HAX54_000229-T1	PF13920
HAX54_000239-T1	PF02365
HAX54_000241-T1	PF00916
HAX54_000241-T1	PF01740
HAX54_000246-T1	PF08221
HAX54_000247-T1	PF05645
HAX54_000249-T1	PF01158
HAX54_000255-T1	PF00293
HAX54_000261-T1	PF13639
HAX54_000262-T1	PF02996
HAX54_000263-T1	PF02298
HAX54_000269-T1	PF04720
HAX54_000287-T1	PF00201
HAX54_000288-T1	PF01204
HAX54_000290-T1	PF00005
HAX54_000291-T1	PF00891
HAX54_000291-T1	PF08100
HAX54_000292-T1	PF00891
HAX54_000292-T1	PF08100
HAX54_000293-T1	PF00394
HAX54_000293-T1	PF07731
HAX54_000293-T1	PF07732
HAX54_000295-T1	PF00146
HAX54_000299-T1	PF02214
HAX54_000300-T1	PF01553
HAX54_000300-T1	PF12710
HAX54_000301-T1	PF01764
HAX54_000312-T1	PF14111
HAX54_000313-T1	PF00230
HAX54_000313-T1	PF01485
HAX54_000314-T1	PF05687
HAX54_000317-T1	PF16455
HAX54_000320-T1	PF13855
HAX54_000321-T1	PF12906
HAX54_000322-T1	PF00069
HAX54_000323-T1	PF00069
HAX54_000323-T1	PF00560
HAX54_000323-T1	PF08263
HAX54_000323-T1	PF12799
HAX54_000323-T1	PF13855
HAX54_000324-T1	PF00069
HAX54_000325-T1	PF00069
HAX54_000325-T1	PF08263
HAX54_000325-T1	PF13855
HAX54_000326-T1	PF00069
HAX54_000326-T1	PF03822
HAX54_000327-T1	PF14144
HAX54_000328-T1	PF07714
HAX54_000328-T1	PF08263
HAX54_000328-T1	PF13855
HAX54_000329-T1	PF04734
HAX54_000329-T1	PF17048
HAX54_000330-T1	PF04640
HAX54_000332-T1	PF00657
HAX54_000333-T1	PF00657
HAX54_000334-T1	PF01699
HAX54_000334-T1	PF13499
HAX54_000335-T1	PF05641
HAX54_000337-T1	PF03245
HAX54_000338-T1	PF03760
HAX54_000339-T1	PF01263
HAX54_000342-T1	PF03514
HAX54_000343-T1	PF00083
HAX54_000344-T1	PF00083
HAX54_000346-T1	PF00076
HAX54_000347-T1	PF00181
HAX54_000347-T1	PF03947
HAX54_000348-T1	PF00232
HAX54_000350-T1	PF04398
HAX54_000351-T1	PF00643
HAX54_000351-T1	PF06203
HAX54_000352-T1	PF00254
HAX54_000353-T1	PF13962
HAX54_000358-T1	PF07059
HAX54_000360-T1	PF00646
HAX54_000362-T1	PF08387
HAX54_000366-T1	PF08387
HAX54_000367-T1	PF00646
HAX54_000367-T1	PF08387
HAX54_000368-T1	PF08387
HAX54_000369-T1	PF08387
HAX54_000370-T1	PF08387
HAX54_000371-T1	PF00503
HAX54_000372-T1	PF00226
HAX54_000372-T1	PF11926
HAX54_000375-T1	PF07777
HAX54_000376-T1	PF00170
HAX54_000376-T1	PF16596
HAX54_000377-T1	PF03552
HAX54_000377-T1	PF14570
HAX54_000379-T1	PF12174
HAX54_000380-T1	PF01535
HAX54_000380-T1	PF13041
HAX54_000380-T1	PF14432
HAX54_000383-T1	PF02519
HAX54_000384-T1	PF05911
HAX54_000385-T1	PF05911
HAX54_000386-T1	PF05911
HAX54_000394-T1	PF01764
HAX54_000397-T1	PF00226
HAX54_000397-T1	PF01556
HAX54_000400-T1	PF09333
HAX54_000400-T1	PF12624
HAX54_000402-T1	PF14432
HAX54_000403-T1	PF13499
HAX54_000405-T1	PF00027
HAX54_000405-T1	PF00520
HAX54_000405-T1	PF11834
HAX54_000405-T1	PF12796
HAX54_000406-T1	PF12799
HAX54_000406-T1	PF12819
HAX54_000407-T1	PF08553
HAX54_000408-T1	PF00847
HAX54_000409-T1	PF03798
HAX54_000410-T1	PF00067
HAX54_000411-T1	PF07859
HAX54_000412-T1	PF07859
HAX54_000413-T1	PF07859
HAX54_000414-T1	PF07859
HAX54_000415-T1	PF07859
HAX54_000422-T1	PF13920
HAX54_000429-T1	PF14368
HAX54_000430-T1	PF04398
HAX54_000431-T1	PF00352
HAX54_000432-T1	PF00646
HAX54_000432-T1	PF01344
