#seq_name	length	coverage	circular	repeat	mult	telomere	graph_path
contig_1	137602	4	-	-	1	left	1,15772,15772,15772,15772,15772,15772,15772,15772,15772,15772,11800,15772,15772,15772,15772
contig_2	203697	5	-	-	1	left	2,-11600,-5669,16397,-579
contig_4	70541	4	-	-	1	none	1393,4,-17052
contig_5	93781	5	-	-	1	both	5
contig_6	88024	3	-	-	1	none	-12564,11248,11248,11248,11248,11248,11248,15865,11248,6
contig_7	139203	5	-	-	1	left	7,-10511
contig_8	80081	4	-	-	1	left	8,15751,15751,15751,15751,15751,15751,15751,15751,15751,15751
contig_10	92253	6	-	-	1	left	10,-5941,-7832
contig_12	45841	5	-	-	1	none	12
contig_13	2298	4	-	-	1	both	13
contig_14	38369	3	-	-	1	right	14
contig_15	28847	3	-	-	1	right	-784,15
contig_16	237778	4	-	-	1	none	-12369,14710,14710,14710,15321,16,-3949,-3949,-3949,15150,7802,6783,-8946,-5159,-4792,-4792,-3949,-3949,-2098,14506,-7228
contig_17	15803	4	-	-	1	left	17
contig_18	35561	5	-	-	1	left	18,-5043
contig_19	113914	3	-	-	1	left	19,2904,3556
contig_20	126139	4	-	-	1	both	20
contig_21	15845	4	-	-	1	right	21
contig_22	109345	4	-	-	1	left	22,-8602
contig_23	56640	4	-	-	1	both	23
contig_24	29310	4	-	-	1	both	24
contig_26	236723	6	-	-	1	both	26
contig_28	66889	4	-	-	1	both	28
contig_29	115366	4	-	-	1	both	29
contig_30	288828	6	-	-	1	left	30,-8157,1376,-12383,-14727
contig_31	32455	3	-	-	1	both	31
contig_32	119266	3	-	-	1	both	32
contig_33	72984	6	-	-	1	both	33
contig_34	216100	5	-	-	1	left	34
contig_35	94599	4	-	-	1	left	35
contig_36	186222	4	-	-	1	both	36
contig_39	107923	3	-	-	1	both	39
contig_40	185291	5	-	-	1	right	-15056,40
contig_41	266644	4	-	-	1	left	41
contig_42	153040	7	-	-	1	none	-12134,15819,42
contig_43	4180	5	-	-	1	both	43
contig_44	33183	4	-	-	1	left	44
contig_46	31580	4	-	-	1	none	3112,46
contig_47	94349	4	-	-	1	right	47
contig_49	116790	3	-	-	1	left	49
contig_50	74601	4	-	-	1	left	50
contig_51	128206	4	-	-	1	both	51
contig_52	86565	3	-	-	1	right	8443,-2611,14214,-14489,-8242,-11928,-8619,-5831,-2611,1610,5559,6610,-6179,-2661,1610,52
contig_53	60133	5	-	-	1	right	53
contig_54	46173	3	-	-	1	right	54
contig_56	264305	3	-	-	1	right	16554,16554,16554,16554,16554,16554,16554,16554,16554,16554,16554,16554,56
contig_58	50132	5	-	-	1	none	58,-14710,-14710,-14710,-14710,-14710,17163,-12371,-550,6221,-14710,8991,-14710,-14710,-14710,-14710
contig_59	27431	3	-	-	1	both	59
contig_61	42911	3	-	-	1	left	61,-15392,-14055,-3703,7176,-6694,9121
contig_62	174370	3	-	-	1	both	-13273,10251,62,-14199
contig_65	53749	4	-	-	1	left	65,12361
contig_66	144913	4	-	-	1	both	66
contig_67	43328	4	-	-	1	right	67
contig_68	50077	8	-	-	1	left	68,-4345,-4345,-4345,-4345,-4345,-4345,-4345,-4345
contig_69	135510	4	-	-	1	right	2804,-6550,-2516,-13137,2804,69
contig_70	139410	4	-	-	1	none	5986,-2204,5986,70
contig_71	55718	4	-	-	1	none	71,7332,-11428
