IPR002913	START domain
IPR001356	Homeobox domain
IPR014906	Pre-mRNA processing factor 4 (PRP4)-like
IPR004159	Putative S-adenosyl-L-methionine-dependent methyltransferase
IPR004045	Glutathione S-transferase, N-terminal
IPR000504	RNA recognition motif domain
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR032867	DYW domain
IPR007700	Domain of unknown function DUF668
IPR001881	EGF-like calcium-binding domain
IPR000719	Protein kinase domain
IPR001764	Glycoside hydrolase, family 3, N-terminal
IPR002772	Glycoside hydrolase family 3 C-terminal domain
IPR006594	LIS1 homology motif
IPR001199	Cytochrome b5-like heme/steroid binding domain
IPR025258	Putative zinc-RING and/or ribbon
IPR001683	Phox homologous domain
IPR000719	Protein kinase domain
IPR002528	Multi antimicrobial extrusion protein
IPR002528	Multi antimicrobial extrusion protein
IPR006702	Casparian strip membrane protein domain
IPR004680	Citrate transporter-like domain
IPR004130	GPN-loop GTPase
IPR000719	Protein kinase domain
IPR013187	F-box associated domain, type 3
IPR001810	F-box domain
IPR002100	Transcription factor, MADS-box
IPR008547	Protein of unknown function DUF829, TMEM53
IPR001715	Calponin homology domain
IPR000048	IQ motif, EF-hand binding site
IPR000048	IQ motif, EF-hand binding site
IPR000048	IQ motif, EF-hand binding site
IPR000048	IQ motif, EF-hand binding site
IPR000048	IQ motif, EF-hand binding site
IPR000048	IQ motif, EF-hand binding site
IPR000048	IQ motif, EF-hand binding site
IPR000048	IQ motif, EF-hand binding site
IPR000048	IQ motif, EF-hand binding site
IPR000048	IQ motif, EF-hand binding site
IPR000048	IQ motif, EF-hand binding site
IPR000048	IQ motif, EF-hand binding site
IPR000048	IQ motif, EF-hand binding site
IPR005202	Transcription factor GRAS
IPR008758	Peptidase S28
IPR006694	Fatty acid hydroxylase
IPR019189	Ribosomal protein L27/L41, mitochondrial
IPR000073	Alpha/beta hydrolase fold-1
IPR009305	2-hydroxy-palmitic acid dioxygenase Mpo1-like
IPR003029	S1 domain
IPR011488	Translation initiation factor 2, alpha subunit
IPR003000	Sirtuin family
IPR001005	SANT/Myb domain
IPR001005	SANT/Myb domain
IPR001554	Glycoside hydrolase, family 14
IPR008540	BES1/BZR1 plant transcription factor, N-terminal
IPR001932	PPM-type phosphatase domain
IPR006969	Stigma-specific protein Stig1
IPR015871	Transcription initiation factor IIA, gamma subunit, C-terminal
IPR015872	Transcription initiation factor IIA, gamma subunit, N-terminal
IPR001841	Zinc finger, RING-type
IPR002769	Translation initiation factor IF6
IPR016140	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain
IPR003721	Pantoate-beta-alanine ligase
IPR013497	DNA topoisomerase, type IA, central
IPR000719	Protein kinase domain
IPR000490	Glycoside hydrolase family 17
IPR011611	Carbohydrate kinase PfkB
IPR012001	Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain
IPR000719	Protein kinase domain
IPR004041	NAF domain
IPR004158	Protein of unknown function DUF247, plant
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR001024	PLAT/LH2 domain

IPR004045	Glutathione S-transferase, N-terminal

IPR013126	Heat shock protein 70 family
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001471	AP2/ERF domain
IPR001471	AP2/ERF domain
IPR000719	Protein kinase domain
IPR022042	snRNA-activating protein complex, subunit 3
IPR001623	DnaJ domain
IPR002912	ACT domain
IPR002912	ACT domain
IPR001623	DnaJ domain
IPR022755	Zinc finger, double-stranded RNA binding
IPR006896	Sec23/Sec24, trunk domain
IPR006501	Pectinesterase inhibitor domain
IPR006068	Cation-transporting P-type ATPase, C-terminal
IPR004014	Cation-transporting P-type ATPase, N-terminal
IPR024750	Calcium-transporting P-type ATPase, N-terminal autoinhibitory domain


IPR004345	TB2/DP1/HVA22-related protein
IPR011417	AP180 N-terminal homology (ANTH) domain


IPR001471	AP2/ERF domain
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR001209	Ribosomal protein S14
IPR000008	C2 domain
IPR000008	C2 domain
IPR000008	C2 domain
IPR000008	C2 domain
IPR013583	Phosphoribosyltransferase C-terminal

IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001938	Thaumatin family

IPR007194	Transport protein particle (TRAPP) component
IPR013846	mRNA capping enzyme, C-terminal
IPR001339	mRNA capping enzyme, catalytic domain
IPR002182	NB-ARC
IPR020966	Aluminum-activated malate transporter
IPR020966	Aluminum-activated malate transporter

IPR000719	Protein kinase domain
IPR000347	Metallothionein, family 15, plant
IPR008796	Photosystem I reaction centre subunit N, chloroplastic

IPR001360	Glycoside hydrolase family 1
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001680	WD40 repeat


IPR003657	WRKY domain
IPR003439	ABC transporter-like
IPR003690	Transcription termination factor, mitochondrial/chloroplastic
IPR003690	Transcription termination factor, mitochondrial/chloroplastic
IPR003690	Transcription termination factor, mitochondrial/chloroplastic

IPR005176	Potentiating neddylation domain
IPR004776	Membrane transport protein
IPR004776	Membrane transport protein
IPR001087	GDSL lipase/esterase
IPR000620	EamA domain
IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
IPR013525	ABC-2 type transporter
IPR001209	Ribosomal protein S14
IPR011701	Major facilitator superfamily
IPR001471	AP2/ERF domain
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR001087	GDSL lipase/esterase

IPR010625	CHCH
IPR001128	Cytochrome P450
IPR001480	Bulb-type lectin domain
IPR003609	PAN/Apple domain
IPR000858	S-locus glycoprotein domain
IPR000719	Protein kinase domain
IPR004910	Yippee/Mis18/Cereblon
IPR001932	PPM-type phosphatase domain
IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
IPR007125	Histone H2A/H2B/H3
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR006734	Protein of unknown function DUF597
IPR001128	Cytochrome P450
IPR009637	Transmembrane protein GPR107/GPR108-like
IPR006852	Protein of unknown function DUF616
IPR004776	Membrane transport protein
IPR000425	Major intrinsic protein
IPR026960	Reverse transcriptase zinc-binding domain
IPR019378	GDP-fucose protein O-fucosyltransferase
IPR021261	Glycerophosphocholine acyltransferase 1
IPR004343	Plus-3 domain
IPR003121	SWIB/MDM2 domain
IPR002022	Pectate lyase
IPR007524	Pectate lyase, N-terminal
IPR002048	EF-hand domain


IPR003892	Ubiquitin system component CUE
IPR033753	Glycine cleavage system H-protein/Simiate
IPR001739	Methyl-CpG DNA binding
IPR001841	Zinc finger, RING-type
IPR014720	Double-stranded RNA-binding domain
IPR006927	Protein of unknown function DUF639
