# BUSCO version is: 3.0.2 
# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)
# To reproduce this run: python /opt/linux/centos/7.x/x86_64/pkgs/busco/3.0.2/scripts/run_BUSCO.py -i /rhome/arajewski/bigdata/Datura/2_ABySS/k_97/Dstr_v1.3_k97-scaffolds.fa -o Dstr_v1.3_k97 -l /srv/projects/db/BUSCO/v9/embryophyta_odb9/ -m genome -c 16 -z -sp tomato
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG09360002	Complete	8373573	1482	14427	5003.7	2476
EOG0936000A	Fragmented	2946239	1285	5925	2564.1	1416
EOG0936001N	Complete	8269724	596	7977	2352.9	1232
EOG0936001W	Complete	6692705	1	7057	1848.9	1127
EOG09360025	Complete	8292713	1	11122	1969.4	1064
EOG0936003Z	Complete	8272666	727	13817	1758.2	1320
EOG0936004R	Complete	8303965	153	6617	1201.4	767
EOG0936004W	Fragmented	2267659	1	6061	1445.6	763
EOG0936008E	Complete	8305924	1	7977	384.7	326
EOG0936008K	Complete	8384916	5559	10800	2453.7	1149
EOG09360091	Fragmented	8376865	1	5520	1691.7	999
EOG0936009W	Missing
EOG093600CA	Complete	8438076	2126	7516	2365.6	1144
EOG093600CH	Missing
EOG093600CL	Complete	8402102	1	9047	959.7	583
EOG093600DF	Missing
EOG093600DJ	Fragmented	5355437	1	6796	1087.8	548
EOG093600DL	Complete	8410523	1888	7956	1843.1	1084
EOG093600EH	Complete	8360529	379	8669	1994.5	1087
EOG093600FR	Complete	5285493	1	3765	805.9	584
EOG093600G6	Complete	8424218	1	6938	1026.9	937
EOG093600GM	Fragmented	2684830	404	3992	1726.8	958
EOG093600H1	Fragmented	8289392	3167	10199	771.2	449
EOG093600IQ	Complete	8419137	1783	10873	1943.9	1103
EOG093600K5	Complete	7881690	1	6152	1334.0	764
EOG093600LV	Complete	8193186	1246	10201	1180.8	724
EOG093600N9	Complete	8280301	1	6000	955.1	679
EOG093600NS	Missing
EOG093600O6	Missing
EOG093600OF	Missing
EOG093600ON	Fragmented	6520767	1	5505	1165.0	633
EOG093600OU	Fragmented	8437904	1	7242	806.4	445
EOG093600P5	Complete	8385344	845	6917	1045.9	770
EOG093600PE	Fragmented	8436405	2909	7531	1573.3	773
EOG093600QB	Fragmented	5851937	1	2652	373.3	453
EOG093600R5	Missing
EOG093600SL	Missing
EOG093600SS	Fragmented	5181665	1	5058	1152.2	703
EOG093600SY	Fragmented	5975135	445	2567	1002.4	446
EOG093600T6	Complete	2029501	1308	6457	885.6	628
EOG093600T8	Fragmented	4436167	1	2016	521.6	368
EOG093600TY	Missing
EOG093600TZ	Fragmented	822211	304	2026	186.2	124
EOG093600U4	Complete	6618342	244	3530	308.2	882
EOG093600U9	Missing
EOG093600UX	Fragmented	8262958	1475	8027	904.3	728
EOG093600W2	Missing
EOG093600WS	Complete	8327684	5394	8777	755.4	993
EOG093600X9	Missing
EOG093600XL	Fragmented	8265853	8329	11013	1506.0	856
EOG093600YH	Complete	8415985	156	3882	1439.2	905
EOG093600ZL	Complete	8265609	5287	10827	1431.8	841
EOG0936011P	Complete	3714705	599	6553	582.9	675
EOG0936011U	Complete	8374005	2002	11787	1043.8	651
EOG0936011V	Complete	8393858	1	5468	766.1	462
EOG09360146	Complete	8438009	5143	8157	1524.5	830
EOG09360155	Missing
EOG0936015N	Complete	8327262	206	4687	1378.8	959
EOG0936017C	Missing
EOG0936017K	Missing
EOG09360199	Complete	8321227	106	3105	1412.2	738
EOG0936019N	Complete	6213169	366	3327	693.5	692
EOG0936019X	Complete	8393468	453	3737	861.1	424
EOG093601AL	Fragmented	8379892	1	4519	1707.3	825
EOG093601AN	Missing
EOG093601CE	Fragmented	6564916	1	6807	944.5	667
EOG093601CM	Complete	8260583	123	5944	533.9	568
EOG093601CX	Complete	4029227	1376	5758	1396.9	898
EOG093601DT	Missing
EOG093601FF	Missing
EOG093601FH	Complete	8353984	1	11955	1755.2	1038
EOG093601G4	Complete	5859158	3167	6167	1177.6	643
EOG093601IB	Complete	2544035	336	4096	1256.3	800
EOG093601IL	Fragmented	8320373	1	5169	1355.6	818
EOG093601IV	Complete	8309752	1	4101	533.5	267
EOG093601IY	Complete	6490494	654	3726	1101.6	750
EOG093601KV	Fragmented	4744419	1	4350	939.8	581
EOG093601KY	Missing
EOG093601LZ	Complete	6360105	1	3105	351.3	185
EOG093601M6	Complete	8328429	1	6951	719.8	542
EOG093601MF	Complete	8428046	2216	9297	1929.1	1101
EOG093601MT	Complete	8294955	505	6923	930.1	736
EOG093601NK	Complete	8272723	927	10303	1400.1	800
EOG093601NU	Complete	8369394	4	4871	1106.8	661
EOG093601OK	Complete	8352995	597	4437	1359.9	742
EOG093601PF	Complete	8404057	266	11984	1598.0	806
EOG093601PJ	Missing
EOG093601PV	Complete	8371500	416	7736	989.1	490
EOG093601Q7	Complete	8357451	1007	5625	711.8	677
EOG093601QL	Fragmented	5055058	1	6144	640.6	450
EOG093601SL	Fragmented	8359577	249	8979	497.2	506
EOG093601SQ	Complete	8436671	1	4625	1282.0	708
EOG093601T9	Missing
EOG093601TO	Complete	8265005	1	5631	1157.0	589
EOG093601TR	Complete	8376866	5276	10266	1130.2	785
EOG093601U2	Complete	8325767	1386	5209	1159.3	766
EOG093601UA	Complete	644212	1	7917	1206.5	687
EOG093601UC	Complete	8370338	696	9693	1383.5	720
EOG093601V0	Missing
EOG093601VD	Complete	1946489	2	2261	1226.1	663
EOG093601WC	Fragmented	8347941	1	6388	533.7	273
EOG093601XR	Complete	8395563	3856	10374	848.0	522
EOG093601Y2	Missing
EOG093601Y6	Complete	3414064	1117	4076	1233.7	775
EOG09360205	Complete	8355715	4516	7552	1157.1	720
EOG0936020C	Complete	344507	3205	7507	1180.1	702
EOG0936020T	Complete	3292569	226	6747	1608.3	806
EOG0936021K	Complete	8428560	6040	8907	1119.7	736
