PF01852	START domain
PS50071	'Homeobox' domain profile.
PS50848	START domain profile.
PF00046	Homeodomain
PF03141	Putative S-adenosyl-L-methionine-dependent methyltransferase
PF00403	Heavy-metal-associated domain
PS50846	Heavy-metal-associated domain profile.
PF02798	Glutathione S-transferase, N-terminal domain
PS50405	Soluble glutathione S-transferase C-terminal domain profile.
PS50404	Soluble glutathione S-transferase N-terminal domain profile.
PF10408	Ubiquitin elongating factor core
PF14432	DYW family of nucleic acid deaminases
PS51375	Pentatricopeptide (PPR) repeat profile.
PS51375	Pentatricopeptide (PPR) repeat profile.
PF01535	PPR repeat
PF01535	PPR repeat
PF01535	PPR repeat
PF01535	PPR repeat
PF01535	PPR repeat
PF01535	PPR repeat
PS51375	Pentatricopeptide (PPR) repeat profile.
PS51375	Pentatricopeptide (PPR) repeat profile.
PS51375	Pentatricopeptide (PPR) repeat profile.
PS51375	Pentatricopeptide (PPR) repeat profile.
PS51375	Pentatricopeptide (PPR) repeat profile.
PS51375	Pentatricopeptide (PPR) repeat profile.
PS51375	Pentatricopeptide (PPR) repeat profile.
PS51375	Pentatricopeptide (PPR) repeat profile.
PS51375	Pentatricopeptide (PPR) repeat profile.
PS51375	Pentatricopeptide (PPR) repeat profile.
PS51375	Pentatricopeptide (PPR) repeat profile.
PS51375	Pentatricopeptide (PPR) repeat profile.
PS51375	Pentatricopeptide (PPR) repeat profile.
TIGR00756	PPR: pentatricopeptide repeat domain
TIGR00756	PPR: pentatricopeptide repeat domain
TIGR00756	PPR: pentatricopeptide repeat domain
TIGR00756	PPR: pentatricopeptide repeat domain
TIGR00756	PPR: pentatricopeptide repeat domain
TIGR00756	PPR: pentatricopeptide repeat domain
PF13041	PPR repeat family
PF13041	PPR repeat family
PF13041	PPR repeat family
PS51375	Pentatricopeptide (PPR) repeat profile.
PS50896	LIS1 homology (LisH) motif profile.
PF08513	LisH
PF00173	Cytochrome b5-like Heme/Steroid binding domain
PF13901	Putative zinc-RING and/or ribbon
PF00787	PX domain
PS50195	PX domain profile.
PF00069	Protein kinase domain
PS50011	Protein kinase domain profile.
PF05184	Saposin-like type B, region 1
PF00026	Eukaryotic aspartyl protease
PS50015	Saposin B type domain profile.
PR00792	Pepsin (A1) aspartic protease family signature
PR00792	Pepsin (A1) aspartic protease family signature
PR00792	Pepsin (A1) aspartic protease family signature
