# BUSCO version is: 3.0.2 
# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)
# To reproduce this run: python /opt/linux/centos/7.x/x86_64/pkgs/busco/3.0.2/scripts/run_BUSCO.py -i /rhome/arajewski/bigdata/Datura/2_MaSuRCA333/flye/assembly.fasta -o Dstr_v1.1 -l /srv/projects/db/BUSCO/v9/embryophyta_odb9/ -m genome -c 16 -z -sp tomato
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG09360002	Complete	contig_2433	39986	63417	6836.2	3910
EOG0936000A	Complete	contig_1326	125457	206095	5235.2	3672
EOG0936001N	Complete	contig_9857	36463	54077	3179.1	2125
EOG0936001W	Complete	contig_1746	42498	70578	2354.8	1611
EOG09360025	Missing
EOG0936003Z	Complete	contig_13306	120933	148982	2449.7	1869
EOG0936004R	Complete	contig_2934	125332	134335	1161.3	736
EOG0936004W	Complete	contig_2128	250604	264929	1927.3	1184
EOG0936008E	Complete	contig_14593	571647	587136	897.3	590
EOG0936008K	Complete	contig_659	335730	341327	2453.5	1149
EOG09360091	Complete	contig_2102	448169	457382	2241.8	1230
EOG0936009W	Complete	contig_10116	12786	17422	1015.9	688
EOG093600CA	Complete	scaffold_9862	8655	13197	2365.6	1144
EOG093600CH	Complete	contig_13510	117369	158707	2038.5	1139
EOG093600CL	Complete	contig_2917	9028	60626	2331.8	1436
EOG093600DF	Complete	contig_1802	44827	57777	1503.2	1239
EOG093600DJ	Complete	contig_1619	234370	264593	2164.5	1260
EOG093600DL	Complete	contig_10050	77989	100391	1525.0	1068
EOG093600EH	Complete	contig_10656	59108	68419	1994.8	1087
EOG093600FR	Complete	contig_8495	87384	127068	1554.3	1067
EOG093600G6	Missing
EOG093600GM	Complete	contig_946	39524	44546	2113.3	1193
EOG093600H1	Complete	contig_3009	188936	207811	1190.5	841
EOG093600IQ	Complete	contig_8603	779338	789397	2092.0	1161
EOG093600K5	Complete	contig_14553	18675	32950	1767.4	1005
EOG093600LV	Missing
EOG093600N9	Complete	contig_7684	116692	134377	1297.1	915
EOG093600NS	Complete	contig_14986	199998	226274	1260.8	811
EOG093600O6	Complete	contig_5331	9294	15457	1429.1	1018
EOG093600OF	Complete	contig_10318	25779	42932	1524.6	888
EOG093600ON	Complete	contig_1571	280953	298313	1685.3	960
EOG093600OU	Fragmented	contig_4108	152695	160668	804.2	447
EOG093600P5	Complete	contig_1500	11884	19807	1045.9	770
EOG093600PE	Complete	contig_1749	296495	311661	2286.0	1131
EOG093600QB	Complete	contig_8805	80753	95948	1120.3	934
EOG093600R5	Fragmented	contig_13353	6733	11365	664.6	374
EOG093600SL	Complete	contig_10599	51349	60845	1407.1	810
EOG093600SS	Missing
EOG093600SY	Complete	contig_6914	14136	21867	1677.5	975
EOG093600T6	Missing
EOG093600T8	Complete	contig_14392	928	6231	1169.0	900
EOG093600TY	Complete	contig_4495	16025	27355	1759.7	1666
EOG093600TZ	Complete	contig_1956	65672	110812	1511.6	867
EOG093600U4	Complete	contig_8060	125558	144437	1242.5	717
EOG093600U9	Complete	contig_2510	202452	227018	1725.8	1069
EOG093600UX	Missing
EOG093600W2	Complete	contig_3060	45827	66692	820.2	563
EOG093600WS	Complete	contig_570	249901	253457	1360.3	877
EOG093600X9	Complete	contig_9528	200012	211490	1222.7	867
EOG093600XL	Complete	contig_2660	110338	115095	1718.7	974
EOG093600YH	Missing
EOG093600ZL	Missing
EOG0936011P	Complete	contig_1295	318384	326265	587.5	682
EOG0936011U	Complete	contig_1105	220221	230250	1340.9	875
EOG0936011V	Complete	contig_12127	21196	34026	1722.6	912
EOG09360146	Complete	contig_3008	27297	30468	1524.5	830
EOG09360155	Complete	contig_2996	159530	172873	1183.0	658
EOG0936015N	Complete	contig_7681	53699	60259	1378.3	959
EOG0936017C	Complete	contig_3279	31676	41302	1650.1	831
EOG0936017K	Complete	contig_3799	549289	557827	1083.9	562
EOG09360199	Complete	contig_5787	58737	66412	1385.7	723
EOG0936019N	Duplicated	contig_1293	154013	157530	763.8	773
EOG0936019N	Duplicated	contig_7722	25222	37425	753.7	666
EOG0936019X	Missing
EOG093601AL	Complete	contig_2347	37133	43306	1972.1	959
EOG093601AN	Complete	contig_1237	202148	219508	1009.1	748
EOG093601CE	Duplicated	contig_3799	208930	224673	1061.7	895
EOG093601CE	Duplicated	contig_4648	49065	60651	978.2	816
EOG093601CM	Missing
EOG093601CX	Complete	contig_13763	44272	48711	1396.9	898
EOG093601DT	Complete	contig_1641	163253	177579	819.4	502
EOG093601FF	Complete	contig_5379	8913	32147	1724.6	790
EOG093601FH	Complete	contig_3157	350700	365082	1877.2	1064
EOG093601G4	Complete	contig_6333	61165	65303	1322.7	733
EOG093601IB	Complete	contig_11081	12656	16411	1256.3	800
EOG093601IL	Complete	contig_3638	48203	64141	1697.1	979
EOG093601IV	Complete	contig_12148	97419	110704	942.7	504
EOG093601IY	Complete	contig_13470	147556	157502	1106.0	780
EOG093601KV	Complete	contig_3402	16436	23337	1439.0	828
EOG093601KY	Complete	contig_2240	122426	125856	1362.8	762
EOG093601LZ	Complete	contig_870	254734	272316	432.9	297
EOG093601M6	Complete	contig_3018	239853	251762	1012.2	711
EOG093601MF	Complete	contig_2995	22612	31304	1929.1	1101
EOG093601MT	Complete	contig_6331	80194	87814	930.1	736
EOG093601NK	Complete	contig_2489	50416	60037	1439.9	817
EOG093601NU	Complete	scaffold_13496	41228	48793	1479.2	922
EOG093601OK	Missing
EOG093601PF	Duplicated	contig_2187	187324	199825	1640.0	841
EOG093601PF	Duplicated	contig_2816	136836	150113	1597.9	806
EOG093601PJ	Complete	contig_886	64740	78353	1667.4	850
EOG093601PV	Missing
EOG093601Q7	Fragmented	contig_240	540817	555960	442.9	459
EOG093601QL	Complete	contig_3759	48786	61560	1430.7	850
EOG093601SL	Complete	contig_3066	258253	273318	1720.8	1204
EOG093601SQ	Complete	contig_14845	96767	104077	1359.4	747
EOG093601T9	Complete	contig_3297	76475	85964	1131.1	586
EOG093601TO	Complete	contig_1014	94946	106100	1417.6	721
EOG093601TR	Complete	contig_11806	83817	88816	1130.2	785
EOG093601U2	Missing
EOG093601UA	Complete	contig_5676	209758	217797	1206.5	687
EOG093601UC	Complete	contig_1810	88397	97396	1383.5	720
EOG093601V0	Complete	contig_3074	36550	62869	1242.6	732
EOG093601VD	Complete	contig_5987	100107	103030	1333.5	763
EOG093601WC	Missing
EOG093601XR	Complete	contig_876	58552	65068	848.0	522
EOG093601Y2	Complete	contig_4343	68545	114408	1252.0	798
EOG093601Y6	Complete	contig_519	59657	64743	1233.7	775
EOG09360205	Complete	contig_9588	152255	155283	1157.1	720
EOG0936020C	Complete	contig_2462	177563	189631	1131.8	688
EOG0936020T	Complete	contig_2462	103977	110499	1608.3	806
EOG0936021K	Complete	contig_2481	92994	95845	1119.7	736
EOG09360236	Complete	contig_870	322793	333825	973.9	661
EOG0936023S	Complete	scaffold_14435	30648	61331	1310.6	833
EOG0936024P	Complete	contig_4041	21657	28378	1330.8	744
EOG0936024U	Complete	contig_3507	97551	111344	1085.4	695
EOG09360254	Complete	contig_14093	66643	69454	1118.6	696
EOG09360259	Complete	contig_14824	46867	49684	1167.2	684
EOG0936025H	Duplicated	contig_3228	222594	227632	1277.5	709
EOG0936025H	Duplicated	contig_5987	113850	119443	1263.3	713
EOG0936025L	Complete	contig_885	80887	89750	1245.4	792
EOG0936026P	Complete	contig_13411	3872	6686	999.7	701
EOG0936026R	Complete	contig_5051	106896	117838	827.6	681
EOG0936026Z	Complete	contig_9543	66762	70048	1068.1	692
EOG0936027I	Complete	contig_5069	25051	27757	1083.4	654
EOG0936028K	Complete	contig_11543	165736	175326	1069.0	728
EOG0936028O	Complete	contig_10138	215984	242258	1249.8	825
EOG0936028V	Complete	contig_3010	71206	74098	1054.3	699
EOG09360296	Complete	contig_240	439799	464640	1650.8	821
EOG093602A0	Complete	contig_9219	4966	11934	1514.1	753
EOG093602C3	Complete	contig_2469	243235	247742	984.5	605
EOG093602CL	Complete	contig_1769	105361	123189	972.8	686
EOG093602E8	Complete	contig_14845	279079	306333	1346.6	694
EOG093602EO	Complete	contig_10902	237733	250604	1455.4	745
EOG093602EU	Complete	contig_3715	285624	300474	1380.6	768
EOG093602F2	Complete	contig_355	580258	583032	1015.6	556
EOG093602FO	Complete	contig_3157	332288	336020	1216.3	720
EOG093602GP	Missing
EOG093602H1	Complete	contig_885	275541	284392	1359.6	660
EOG093602HL	Complete	contig_12148	324618	332599	1374.3	694
EOG093602I0	Complete	contig_9656	23074	32164	1484.1	827
EOG093602IG	Complete	contig_870	84196	92517	1327.0	808
EOG093602K0	Complete	contig_986	247991	274438	1034.2	651
EOG093602KH	Complete	contig_1344	81939	86901	1332.7	689
EOG093602KV	Complete	contig_3254	1	4454	568.0	402
EOG093602LT	Complete	contig_2566	349784	357006	202.8	614
EOG093602MY	Missing
EOG093602N6	Complete	contig_1095	6126	8157	868.2	491
EOG093602O1	Duplicated	contig_1557	113735	117115	481.2	402
EOG093602O1	Duplicated	contig_1557	117647	125285	444.2	372
EOG093602OJ	Complete	contig_12071	137845	142155	956.5	669
EOG093602PW	Complete	contig_11306	27363	30882	921.1	652
EOG093602QH	Complete	contig_1409	150419	153258	1208.6	651
EOG093602QV	Complete	contig_6708	192351	198167	1444.3	699
