# BUSCO version is: 3.0.2 
# The lineage dataset is: solanaceae_odb10 (Creation date: 2017-12-01, number of species: 16, number of BUSCOs: 3052)
# To reproduce this run: python /opt/linux/centos/7.x/x86_64/pkgs/busco/3.0.2/scripts/run_BUSCO.py -i /rhome/arajewski/bigdata/Datura/3_Flye/assembly.fasta -o Dstr_v1.0_SolanaceaeBUSCO -l /rhome/arajewski/bigdata/Datura/software/solanaceae_odb10/ -m genome -c 16 -sp tomato
#
# Busco id	Status	Contig	Start	End	Score	Length
1	Complete	contig_2414	145400	167771	10105.8	4701
1000	Complete	contig_575	209617	217919	2172.0	1184
10022	Complete	contig_6178	78465	95884	988.4	479
10026	Complete	contig_1266	53685	56730	1013.0	484
10040	Complete	contig_9301	20480	24230	888.0	441
10046	Complete	contig_16012	221997	230774	715.3	413
10057	Complete	contig_2916	30201	37559	1060.9	483
10065	Complete	contig_13567	36439	38435	907.0	420
10103	Complete	contig_9101	280519	292493	681.6	429
10108	Complete	contig_2328	119349	126783	892.5	424
10113	Complete	contig_3897	561235	566893	1091.4	490
10115	Missing
10138	Complete	contig_12480	22452	28758	883.4	384
10148	Missing
10168	Fragmented	contig_3738	44227	62486	924.2	411
10182	Missing
10183	Complete	contig_1993	203621	210243	1066.3	469
10188	Complete	contig_12926	98057	102949	942.8	453
10196	Complete	contig_20	49901	55906	853.0	439
102	Complete	contig_12402	246421	268197	2578.2	1242
10204	Complete	contig_1705	76871	81557	1104.3	502
1021	Complete	contig_841	40205	49706	1999.2	915
1023	Complete	contig_5630	80537	84083	1948.7	985
10240	Complete	contig_2439	25928	40553	754.4	375
10243	Complete	contig_6297	575607	580300	890.0	427
1026	Complete	contig_14198	36081	44903	2294.0	1010
10271	Complete	contig_5832	30184	35694	900.0	442
10280	Complete	contig_15413	12012	22797	853.6	455
10282	Missing
10286	Missing
10293	Complete	contig_10441	107403	112467	899.3	423
10294	Complete	contig_7386	284538	289980	262.6	361
10296	Complete	contig_5652	109403	115470	461.3	434
1030	Complete	contig_8601	292463	307059	2149.5	985
10301	Complete	contig_9109	95176	100409	876.8	443
10302	Complete	contig_5740	85378	104310	865.2	385
10308	Complete	contig_7451	263430	269418	909.2	522
1031	Complete	contig_11305	70399	75750	2025.9	928
10321	Complete	contig_2423	13304	22092	846.8	418
10329	Complete	contig_4786	45587	47527	856.3	402
10342	Complete	scaffold_8610	320961	323524	927.3	410
10346	Complete	contig_14071	39379	49479	853.6	421
10348	Complete	contig_16389	24341	35475	851.8	391
10356	Complete	contig_9301	208077	221872	953.3	440
10363	Complete	contig_4410	29430	33963	698.7	339
10365	Complete	contig_13615	7189	16487	902.3	430
1037	Complete	contig_7458	212339	223979	1479.6	803
10374	Complete	contig_5567	117250	119310	970.0	467
10375	Complete	contig_6348	164071	170917	1026.1	462
10376	Complete	contig_5747	390775	393616	1170.6	533
10391	Complete	contig_8805	92785	97065	837.7	369
10395	Complete	contig_7972	18901	30903	912.4	431
1040	Complete	contig_4391	297008	310919	2279.0	1058
10404	Complete	contig_1885	83174	85406	1024.8	487
10432	Missing
10434	Complete	contig_9132	3896	9081	1144.6	549
10435	Complete	contig_6428	38839	43233	1074.4	554
10436	Complete	contig_12145	7566	22240	965.9	598
10467	Fragmented	contig_26	104792	111512	714.3	320
10485	Complete	contig_13863	5406	12025	812.9	454
10488	Complete	contig_4316	169829	180578	784.9	389
10492	Complete	contig_1472	309807	316199	1585.9	719
10502	Complete	contig_2328	360260	367662	825.9	356
10512	Complete	contig_1929	15887	29600	681.2	361
10519	Complete	contig_4391	545609	548308	982.2	421
10522	Missing
10528	Fragmented	contig_9604	152619	164052	630.4	363
1053	Complete	contig_7777	181213	187300	2200.9	993
10532	Complete	contig_7787	76342	86927	817.5	410
1054	Complete	contig_3599	117560	130274	1646.7	817
10543	Complete	contig_6060	6916	12775	1036.4	435
10552	Complete	contig_6348	244982	249296	766.3	387
10554	Fragmented	contig_5881	35794	43555	903.9	407
10564	Complete	contig_9101	365467	369846	822.7	377
