#seq_name	length	coverage	circular	repeat	mult	telomere	graph_path
contig_2	16972	4	-	-	1	right	13517,13517,13517,13517,13517,13517,13517,2
contig_3	38688	4	-	-	1	left	3,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160
contig_4	107856	3	-	-	1	both	4
contig_5	159766	4	-	-	1	both	5
contig_7	192180	4	-	-	1	right	-6404,-6404,-6404,-6404,-2891,6368,6368,6368,13517,7
contig_8	3292	3	-	-	1	both	8
contig_9	107561	3	-	-	1	left	9
contig_10	288740	5	-	-	1	right	12486,-9425,13356,13728,-9425,10
contig_11	202240	5	-	-	1	left	11,-2525,-9611,-2525,-9611,-2525,-9611
contig_12	40470	3	-	-	1	left	12
contig_14	34349	3	-	-	1	none	14,13310,13310,-13310,2782,-8206
contig_15	160612	3	-	-	1	right	15
contig_17	74767	3	-	-	1	both	17
contig_18	61792	4	-	-	1	right	18
contig_22	48895	4	-	-	1	left	22
contig_24	28910	3	-	-	1	left	24,-13517,-13517,-13517,-13517,-13517,-13517,-13517
contig_26	275477	6	-	-	1	none	-13531,26,-9074,-4386
contig_27	82937	4	-	-	1	both	27,-5494
contig_29	36313	4	-	-	1	none	14094,14094,9890,-10242,-13111,-13501,4815,4815,2467,-2762,-35,13120,13120,13120,13120,13120,29,-13259
contig_34	172478	4	-	-	1	none	13517,13517,13517,13517,13517,13517,34
contig_36	33725	6	-	-	1	none	-5424,36
contig_37	38223	3	-	-	1	left	37
contig_38	50657	5	-	-	1	none	12012,38
contig_39	81402	6	-	-	1	both	39
contig_40	172573	3	-	-	1	left	40,-13517,-13517,-13517,-13517,-13517,-4619,7370,-13517,-13517,-13517,4333
contig_41	443036	5	-	-	1	both	41
contig_43	177221	4	-	-	1	left	43,10466
contig_46	150726	5	-	-	1	left	46
contig_47	30532	3	-	-	1	none	-9274,47
contig_48	84687	4	-	-	1	both	48
contig_50	8624	3	-	-	1	both	50
contig_52	54078	5	-	-	1	both	52
contig_53	87880	4	-	-	1	both	53
contig_54	48502	7	-	-	1	both	54
contig_55	76709	4	-	-	1	right	55
contig_56	6291	3	-	-	1	none	-10034,56,-4064
contig_57	96700	3	-	-	1	right	11599,10584,13517,13517,13517,13517,13517,13517,57
contig_58	109530	5	-	-	1	right	58
contig_59	86489	4	-	-	1	right	631,-10210,59
contig_60	65974	3	-	-	1	both	60
contig_63	11783	3	-	-	1	none	-481,63
contig_68	67044	4	-	-	1	none	68,-1810,-1810,-1810,-1810,-2232,-10253
contig_69	89680	3	-	-	1	both	69
contig_70	103179	5	-	-	1	both	70
contig_72	95622	4	-	-	1	left	72,526
contig_74	101588	3	-	-	1	both	74
contig_75	148124	6	-	-	1	both	-8087,75
contig_76	136394	3	-	-	1	left	76
contig_78	58283	3	-	-	1	none	78
contig_82	119183	3	-	-	1	both	82
contig_83	46865	4	-	-	1	right	83
contig_84	58111	4	-	-	1	none	9797,-11431,-11431,13517,13517,13517,13517,11908,9797,8280,-11431,-11431,84,-13517,13491,-13517,-13517,-13517,-13517,-13517,-13517
contig_85	176560	4	-	-	1	none	13302,13302,13302,13302,13302,13302,13302,13302,13302,13302,85
contig_86	325404	4	-	-	1	both	86
contig_87	44206	7	-	-	1	both	87
contig_89	74761	6	-	-	1	none	-1248,-7007,89,3211,-13257,-6368,-6368,-6368,-6368,-6368,-6368,-6368,-6368,-6368,-6368,-6368,-6368,-6368,-6368,-6368,-6368,-6368,-6368,-6368,-6368,-6368,-6368,2891,6404,6404,6404,6404,6404,6404,6404,8573,-11066,-3211,-12873,-3211,-3211,-3211,-7512,-3211,-3211,-3211,-3211,-3211,-3211,-3211
contig_90	94521	3	-	-	1	both	90
contig_92	144496	5	-	-	1	both	239,239,92
contig_93	76898	5	-	-	1	right	398,93
contig_94	100717	5	-	-	1	none	13454,94
contig_96	109078	3	-	-	1	left	96,-6637,3431
contig_97	72941	4	-	-	1	both	97
contig_98	96659	5	-	-	1	both	98
contig_99	53821	4	-	-	1	both	99
contig_100	167469	4	-	-	1	left	100,-13439,-7327,-7327,-7327,-7327,12803,-11726
contig_101	54699	3	-	-	1	none	2544,101,11341,-11774,-7080,109,79,11341,-13681
contig_102	72096	4	-	-	1	right	102
contig_103	36297	5	-	-	1	none	-11714,13511,13517,13517,13517,-13625,103,-13505,12975
contig_104	130840	3	-	-	1	none	1454,104,-11195,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,11890
contig_106	164650	4	-	-	1	none	-11303,106,8349,1234,-148,8001,12959
contig_107	141261	3	-	-	1	none	107,-13517,-13517,-13517,-13517,-13517,-11616,-13517,-13517,117
contig_108	159745	4	-	-	1	left	108,-6010
contig_110	255028	4	-	-	1	right	-12526,11530,-10063,110
contig_113	104519	4	-	-	1	right	-9425,-9425,-9425,-9425,-9425,-9425,-13242,13125,13125,113
contig_115	132855	4	-	-	1	both	115
contig_119	133019	3	-	-	1	right	13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,13517,119
contig_121	35345	4	-	-	1	none	121,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-7260
contig_122	81430	3	-	-	1	right	-4298,122
contig_124	108861	3	-	-	1	both	124
contig_125	230754	4	-	-	1	right	13517,13517,13517,13517,13517,13517,13517,-9722,13517,125
contig_126	102248	5	-	-	1	both	126
contig_127	82587	4	-	-	1	none	-8215,10236,-9472,9636,-8076,11930,-11229,2294,127,12900
contig_128	173175	5	-	-	1	both	128
contig_129	117803	4	-	-	1	both	129
contig_130	68185	6	-	-	1	both	130
contig_132	77013	3	-	-	1	right	132
contig_135	65329	5	-	-	1	none	135,-9037,-9694,4281,-4002,3918,5706,-2479,-11787,4429,7992,-11660,-4342
contig_136	88196	4	-	-	1	right	136
contig_137	48336	4	-	-	1	none	10582,-13776,12552,4525,823,-7484,114,137
contig_138	22198	3	-	-	1	left	138
contig_141	39951	5	-	-	1	right	141
contig_145	144779	6	-	-	1	both	145
contig_146	107185	4	-	-	1	right	146
contig_149	43614	3	-	-	1	right	149
contig_151	76491	4	-	-	1	none	8394,-12975,13505,-11307,151,-13804
contig_152	91603	4	-	-	1	none	13517,13517,13517,13517,13517,13517,13517,-9790,152
contig_154	32022	4	-	-	1	none	13807,-2564,-11870,154,-11407,7959,-13517
contig_155	123769	5	-	-	1	none	1810,1810,1810,1810,1810,1810,1810,10253,2232,1810,1810,155
contig_158	32256	5	-	-	1	left	158,-3223
contig_159	82189	3	-	-	1	both	159
contig_160	33975	3	-	-	1	left	160
contig_162	12647	4	-	-	1	right	162
contig_165	226861	4	-	-	1	none	10471,165,13100,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-13517,-11499,-13517,-9190
